Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
44,Daniel Armando Ríos,mx MEX,FW,Charlotte,26,1995,15.7,7,37,13,35.1,2.35,0.83,0.16,0.46,12.9,0,1,1,6.6,5.8,0.16,0.4,0.2,Matches,078b2c07
45,Adam Armour,us USA,MF,Charlotte,19,2002,0.9,1,3,2,66.7,3.18,2.12,0.33,0.5,20.1,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches,546c2c25
46,Xavier Arreaga,ec ECU,DF,Seattle,27,1994,24.1,1,9,3,33.3,0.37,0.12,0.11,0.33,14.1,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches,7f2b7640
47,Kervin Arriaga,hn HON,MF,Minnesota Utd,24,1998,21,1,21,3,14.3,1,0.14,0.05,0.33,21.7,2,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches,4f8a9f70
48,Paul Arriola,us USA,FW,FC Dallas,26,1995,28.5,10,55,21,38.2,1.93,0.74,0.18,0.48,16.7,2,0,0,6.7,6.7,0.12,3.3,3.3,Matches,1bb2acce
49,Artur,br BRA,MF,Columbus Crew,25,1996,18.2,0,23,4,17.4,1.26,0.22,0,0,23.3,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches,ea6803c7
50,Dairon Asprilla,co COL,FWMF,Portland Timbers,29,1992,20.5,10,46,13,28.3,2.24,0.63,0.13,0.46,18.1,0,4,4,7.8,4.6,0.1,2.2,1.4,Matches,218d336c
51,Isaac Atanga,gh GHA,DF,FC Cincinnati,21,2000,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,ff0f2a53
52,Joshua Atencio,us USA,MF,Seattle,20,2002,8.1,0,7,1,14.3,0.87,0.12,0,0,25.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,1f084637
53,Roberto Avila,us USA,FWMF,Houston Dynamo,21,2000,1.8,0,4,1,25,2.26,0.57,0,0,20.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,bb666b57
54,David Ayala,ar ARG,MF,Portland Timbers,19,2002,8.2,0,11,3,27.3,1.34,0.36,0,0,26.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,06dafc0e
55,Edison Azcona,do DOM,MF,Inter Miami,18,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,05f54837
56,Dominique Badji,sn SEN,FW,FC Cincinnati,29,1992,12.2,0,28,12,42.9,2.29,0.98,0,0,15.9,0,0,0,3.3,3.3,0.12,-3.3,-3.3,Matches,758ac389
57,Zico Bailey,us USA,DFMF,FC Cincinnati,21,2000,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,aa9e1161
58,Corey Baird,us USA,FW,Houston Dynamo,26,1996,14.9,2,16,7,43.8,1.07,0.47,0.13,0.29,15.9,0,0,0,1.7,1.7,0.11,0.3,0.3,Matches,2d0d1442
59,Esmir Bajraktarevic,us USA,MFFW,New England,16,2005,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,dff24174
60,Reed Baker-Whiting,us USA,MF,Seattle,16,2005,1.1,0,3,3,100,2.84,2.84,0,0,17.1,0,0,0,0.6,0.6,0.21,-0.6,-0.6,Matches,816d7aec
61,Michael Baldisimo,ca CAN,MF,Vancouver,21,2000,5.1,0,3,2,66.7,0.59,0.4,0,0,33.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,894b41c5
62,Gareth Bale,wls WAL,FW,Los Angeles FC,32,1989,3.9,2,17,6,35.3,4.31,1.52,0.12,0.33,17.8,1,0,0,2,2,0.13,0,0,Matches,a58bb1e1
63,Tom Barlow,us USA,FW,NY Red Bulls,26,1995,12.2,4,22,9,40.9,1.8,0.74,0.14,0.33,11.3,0,1,1,4.7,3.9,0.18,-0.7,-0.9,Matches,da4821de
64,Álvaro Barreal,ar ARG,DFMF,FC Cincinnati,21,2000,24.4,5,48,23,47.9,1.96,0.94,0.1,0.22,21.3,8,0,0,3,3,0.06,2,2,Matches,ffca53e1
65,Michael Barrios,co COL,FWMF,Colorado Rapids,30,1991,21.2,2,46,11,23.9,2.17,0.52,0.04,0.18,15.1,0,0,0,4.3,4.3,0.09,-2.3,-2.3,Matches,df782c79
66,Ethan Bartlow,us USA,DFMF,Houston Dynamo,21,2000,10.1,0,1,1,100,0.1,0.1,0,0,16,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,552898bd
