Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
615,Brian Rodríguez,uy URU,FW,Los Angeles FC,21,2000,14,10,819,9.1,2,3,5,2,0,0,1,0,3.2,3.2,1.8,5,37,25,104,0.22,0.33,0.55,0.22,0.55,0.35,0.2,0.54,0.35,0.54,Matches,c86041d7
616,Emerson Rodríguez,co COL,FWMF,Inter Miami,21,2000,22,1,528,5.9,2,0,2,2,0,0,2,0,1.5,1.5,0.8,2.3,28,11,61,0.34,0,0.34,0.34,0.34,0.26,0.13,0.39,0.26,0.39,Matches,09e5ae16
617,Martín Rodríguez,cl CHI,FWMF,D.C. United,27,1994,14,10,904,10,0,1,1,0,0,0,1,0,0.3,0.3,1.3,1.7,28,45,58,0,0.1,0.1,0,0.1,0.03,0.13,0.17,0.03,0.17,Matches,c075b5f0
618,Memo Rodriguez,us USA,MFFW,Houston Dynamo,26,1995,30,18,1501,16.7,0,3,3,0,0,0,6,0,2.4,2.4,2.6,5,30,68,83,0,0.18,0.18,0,0.18,0.14,0.16,0.3,0.14,0.3,Matches,fc6c6b2b
619,Santiago Rodríguez,uy URU,MFFW,NYCFC,22,2000,32,29,2461,27.3,4,10,14,4,0,0,12,0,7,7,8.3,15.2,104,174,178,0.15,0.37,0.51,0.15,0.51,0.25,0.3,0.56,0.25,0.56,Matches,86dff811
620,Alex Roldan,sv SLV,DF,Seattle,25,1996,32,29,2610,29,1,4,5,1,0,0,8,1,0.4,0.4,3.7,4,40,115,173,0.03,0.14,0.17,0.03,0.17,0.01,0.13,0.14,0.01,0.14,Matches,1255a82a
621,Cristian Roldan,us USA,FWMF,Seattle,26,1995,26,22,2102,23.4,4,4,8,4,0,0,2,0,3.8,3.8,4.1,7.9,56,138,168,0.17,0.17,0.34,0.17,0.34,0.16,0.17,0.34,0.16,0.34,Matches,48875649
622,Jhohan Romaña,co COL,DF,Austin,23,1998,10,3,336,3.7,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,16,1,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,Matches,4e32c2d6
623,David Romney,us USA,DF,Nashville,28,1993,31,30,2643,29.4,3,2,5,3,0,0,2,0,2.9,2.9,1.9,4.9,7,76,10,0.1,0.07,0.17,0.1,0.17,0.1,0.07,0.17,0.1,0.17,Matches,b7b6e781
624,Rafael Romo,ve VEN,GK,D.C. United,31,1990,14,13,1212,13.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,8827c189
625,Eloy Room,cw CUW,GK,Columbus Crew,32,1989,34,34,3060,34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6b33d86b
626,Joseph Rosales,hn HON,MF,Minnesota Utd,21,2000,24,8,1052,11.7,0,2,2,0,0,0,6,1,0.6,0.6,1,1.6,25,55,27,0,0.17,0.17,0,0.17,0.05,0.09,0.14,0.05,0.14,Matches,6a29d06b
627,Oriol Rosell,es ESP,MF,Sporting KC,29,1992,18,13,901,10,0,1,1,0,0,0,5,1,0.5,0.5,0.3,0.8,2,31,3,0,0.1,0.1,0,0.1,0.05,0.03,0.08,0.05,0.08,Matches,2a17ef3e
628,Keegan Rosenberry,us USA,DFMF,Colorado Rapids,28,1993,34,33,2961,32.9,2,1,3,2,0,0,4,0,0.8,0.8,1.6,2.5,33,130,74,0.06,0.03,0.09,0.06,0.09,0.03,0.05,0.07,0.03,0.07,Matches,f940c69e
629,Matheus Rossetto,br BRA,MF,Atlanta Utd,25,1996,24,19,1602,17.8,0,1,1,0,0,0,0,0,0.6,0.6,0.9,1.5,27,117,33,0,0.06,0.06,0,0.06,0.04,0.05,0.08,0.04,0.08,Matches,daf8c775
630,Paul Rothrock,us USA,FWDF,Toronto FC,23,1999,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,Matches,875e8269
631,Kelyn Rowe,us USA,DFMF,Seattle,30,1991,28,14,1307,14.5,1,1,2,1,0,0,7,2,0.8,0.8,0.4,1.2,16,69,54,0.07,0.07,0.14,0.07,0.14,0.06,0.03,0.09,0.06,0.09,Matches,cf928adb
