,Player,POS,Club,GP,GS,MINS,G,A,YC,RC,SHTS,SOG,SOG%,SC%,Year,best_11,W,L,D,GD
8250,David Guzman,M,POR,14,11,968,3,1,4,0,17,6,35.29,17.6,2018,0,15.0,10.0,9.0,6.0
8251,Gustav Svensson,M,SEA,24,23,2074,3,1,2,0,21,8,38.1,14.3,2018,0,18.0,11.0,5.0,15.0
8252,Jay Chapman,M,MIA,22,10,982,3,1,2,0,25,9,36.0,12.0,2018,0,,,,
8253,Matteo Mancosu,F,MTL,20,14,1103,3,1,2,0,27,5,18.52,11.1,2018,0,14.0,16.0,4.0,-6.0
8254,Nicolas Mezquida,F,COL,21,9,966,3,1,0,0,36,12,33.33,8.3,2018,0,8.0,19.0,7.0,-27.0
8255,Romario Ibarra,M,MIN,9,2,271,3,0,0,0,11,5,45.45,27.3,2018,0,11.0,20.0,3.0,-22.0
8256,Nick Hagglund,D,CIN,20,15,1430,3,0,1,0,12,6,50.0,25.0,2018,0,,,,
8257,Joe Mason,F,COL,14,9,758,3,0,1,0,14,8,57.14,21.4,2018,0,8.0,19.0,7.0,-27.0
8258,Niki Jackson,F,COL,15,1,429,3,0,4,1,14,4,28.57,21.4,2018,0,8.0,19.0,7.0,-27.0
8259,Jahmir Hyka,M,SJ,19,11,914,3,0,0,0,18,6,33.33,16.7,2018,0,4.0,21.0,9.0,-22.0
8260,Tosaint Ricketts,F,VAN,18,4,601,3,0,1,0,20,12,60.0,15.0,2018,0,13.0,13.0,8.0,-13.0
8261,Laurent Ciman,D,LAFC,22,22,1980,3,0,1,0,24,10,41.67,12.5,2018,0,16.0,9.0,9.0,16.0
8262,Jonathan dos Santos,M,LA,23,22,1909,2,8,3,0,11,5,45.45,18.2,2018,0,13.0,12.0,9.0,2.0
8263,Mauro Diaz,M,DAL,12,9,807,2,8,3,0,20,5,25.0,10.0,2018,0,16.0,9.0,9.0,8.0
8264,Marc Rzatkowski,M,NY,24,16,1497,2,7,4,0,22,7,31.82,9.1,2018,0,22.0,7.0,5.0,29.0
8265,Haris Medunjanin,M,CIN,30,29,2530,2,7,5,1,44,9,20.45,4.5,2018,0,,,,
8266,Graham Zusi,M,KC,34,34,3060,2,7,2,0,57,19,33.33,3.5,2018,0,18.0,8.0,8.0,25.0
8267,Harrison Afful,D,CLB,32,32,2864,2,6,1,0,56,13,23.21,3.6,2018,0,14.0,11.0,9.0,-2.0
8268,Emmanuel Boateng,M,DC,27,12,1188,2,5,2,0,17,4,23.53,11.8,2018,0,14.0,11.0,9.0,10.0
8269,Mark-Anthony Kaye,M,LAFC,20,20,1582,2,5,3,0,30,10,33.33,6.7,2018,0,16.0,9.0,9.0,16.0
8270,Khiry Shelton,F,KC,20,15,1370,2,5,2,0,36,10,27.78,5.6,2018,0,18.0,8.0,8.0,25.0
8271,Steven Beitashour,D,LFC,30,30,2644,2,4,3,0,9,3,33.33,22.2,2018,0,,,,
8272,Kevin Ellis,D,CHI,22,19,1583,2,4,4,0,10,3,30.0,20.0,2018,0,8.0,18.0,8.0,-13.0
8273,Justin Meram,M,RSL,26,21,1867,2,4,0,0,56,15,26.79,3.6,2018,0,14.0,13.0,7.0,-3.0
8274,Alvas Powell,D,MIA,24,24,2072,2,3,1,0,25,9,36.0,8.0,2018,0,,,,
8275,Francisco Calvo,D,CHI,26,26,2339,2,3,9,1,26,6,23.08,7.7,2018,0,8.0,18.0,8.0,-13.0
8276,Michael de Leeuw,F,CHI,9,5,454,2,2,1,0,9,2,22.22,22.2,2018,0,8.0,18.0,8.0,-13.0
8277,Jordon Mutch,M,VAN,18,8,830,2,2,1,0,12,5,41.67,16.7,2018,0,13.0,13.0,8.0,-13.0
8278,Andrew Farrell,D,NE,31,30,2701,2,2,2,0,12,3,25.0,16.7,2018,0,10.0,13.0,11.0,-6.0
8279,Jeremy Ebobisse,F,POR,9,5,449,2,2,1,0,12,3,25.0,16.7,2018,0,15.0,10.0,9.0,6.0
8280,Marky Delgado,M,TOR,28,21,1984,2,2,3,0,13,5,38.46,15.4,2018,0,10.0,18.0,6.0,-5.0
8281,Nick Lima,D,SJ,34,34,3049,2,2,2,0,16,6,37.5,12.5,2018,0,4.0,21.0,9.0,-22.0
8282,Shkelzen Gashi,M,COL,21,9,814,2,2,3,0,20,5,25.0,10.0,2018,0,8.0,19.0,7.0,-27.0
8283,Ronald Matarrita,D,NYC,24,15,1367,2,2,4,1,24,12,50.0,8.3,2018,0,16.0,10.0,8.0,14.0
8284,Kevin Molino,M,MIN,2,2,140,2,1,0,0,4,3,75.0,50.0,2018,0,11.0,20.0,3.0,-22.0
8285,Erik Hurtado,F,KC,12,4,484,2,1,0,0,8,3,37.5,25.0,2018,0,18.0,8.0,8.0,25.0
8286,Jimmy Medranda,D,NSH,12,8,728,2,1,1,0,9,3,33.33,22.2,2018,0,,,,
8287,Handwalla Bwana,M,SEA,12,6,491,2,1,0,0,10,2,20.0,20.0,2018,0,18.0,11.0,5.0,15.0
8288,Ethan Finlay,M,MIN,7,7,570,2,1,1,0,10,5,50.0,20.0,2018,0,11.0,20.0,3.0,-22.0
8289,Kevin Kratz,M,ATL,27,2,500,2,1,0,0,10,7,70.0,20.0,2018,0,21.0,7.0,6.0,26.0
8290,Andrew Wenger,D,HOU,22,20,1710,2,1,1,0,14,7,50.0,14.3,2018,0,10.0,16.0,8.0,0.0
8291,Kemar Lawrence,D,NY,28,27,2438,2,1,1,0,15,6,40.0,13.3,2018,1,22.0,7.0,5.0,29.0
8292,Ulises Segura,M,DC,23,14,1292,2,1,1,0,19,8,42.11,10.5,2018,0,14.0,11.0,9.0,10.0
8293,Jack McBean,F,COL,22,13,1060,2,1,5,0,20,9,45.0,10.0,2018,0,8.0,19.0,7.0,-27.0
8294,Jordan Hamilton,F,CLB,14,10,862,2,1,1,0,26,8,30.77,7.7,2018,0,14.0,11.0,9.0,-2.0
8295,Carlos Gruezo,M,DAL,31,28,2508,2,1,8,0,28,6,21.43,7.1,2018,0,16.0,9.0,9.0,8.0
8296,Cristian Lobato,D,KC,7,3,327,2,0,0,0,6,4,66.67,33.3,2018,0,18.0,8.0,8.0,25.0
8297,Jay Simpson,F,PHI,8,1,159,2,0,0,0,6,4,66.67,33.3,2018,0,15.0,14.0,5.0,-1.0
8298,Michael Boxall,D,MIN,32,32,2880,2,0,7,0,7,3,42.86,28.6,2018,0,11.0,20.0,3.0,-22.0
8299,Jack Elliott,D,PHI,17,16,1430,2,0,6,1,7,3,42.86,28.6,2018,0,15.0,14.0,5.0,-1.0
8300,Diego Chara,M,POR,27,26,2385,2,0,11,0,8,3,37.5,25.0,2018,0,15.0,10.0,9.0,6.0
8301,Tesho Akindele,F,ORL,19,5,577,2,0,0,0,9,7,77.78,22.2,2018,0,8.0,22.0,4.0,-31.0
8302,Carlos Rivas,F,NY,5,3,264,2,0,0,0,10,6,60.0,20.0,2018,0,22.0,7.0,5.0,29.0
8303,Scott Caldwell,M,NE,24,20,1522,2,0,7,1,13,8,61.54,15.4,2018,0,10.0,13.0,11.0,-6.0
8304,Anthony Jackson-Hamel,F,MTL,16,6,580,2,0,0,0,14,8,57.14,14.3,2018,0,14.0,16.0,4.0,-6.0
8305,Matt Hedges,D,DAL,33,33,2925,2,0,8,0,15,7,46.67,13.3,2018,0,16.0,9.0,9.0,8.0
8306,Steven Birnbaum,D,DC,34,34,3060,2,0,4,0,17,6,35.29,11.8,2018,0,14.0,11.0,9.0,10.0
8307,Stefano Pinho,F,ORL,23,5,595,2,0,0,0,18,6,33.33,11.1,2018,0,8.0,22.0,4.0,-31.0
8308,Cristian Colman,F,DAL,15,6,606,2,0,0,1,21,11,52.38,9.5,2018,0,16.0,9.0,9.0,8.0
8309,Yannick Boli,F,COL,17,9,768,2,0,3,1,23,7,30.43,8.7,2018,0,8.0,19.0,7.0,-27.0
8310,Alexander Ring,M,NYC,30,29,2608,2,0,10,0,30,8,26.67,6.7,2018,0,16.0,10.0,8.0,14.0
8311,Ashley Cole,D,LA,31,30,2687,1,10,7,2,15,5,33.33,6.7,2018,0,13.0,12.0,9.0,2.0
8312,Boniek Garcia,M,HOU,29,21,2063,1,7,7,0,6,1,16.67,16.7,2018,0,10.0,16.0,8.0,0.0
8313,Felipe,M,DC,29,24,2203,1,7,4,0,26,8,30.77,3.8,2018,0,14.0,11.0,9.0,10.0
8314,Pedro Santos,M,CLB,30,29,2221,1,7,4,1,72,20,27.78,1.4,2018,0,14.0,11.0,9.0,-2.0
8315,Milton Valenzuela,D,CLB,30,29,2557,1,6,6,0,17,4,23.53,5.9,2018,0,14.0,11.0,9.0,-2.0
8316,Brandt Bronico,M,CHI,23,17,1531,1,5,4,0,10,3,30.0,10.0,2018,0,8.0,18.0,8.0,-13.0
8317,Daniel Lovitz,D,NSH,31,29,2650,1,5,3,1,11,1,9.09,9.1,2018,0,,,,
8318,Josue Colman,M,ORL,24,10,1054,1,5,0,0,28,11,39.29,3.6,2018,0,8.0,22.0,4.0,-31.0
8319,Marco Urena,F,LFC,18,11,1015,1,5,0,0,28,12,42.86,3.6,2018,0,,,,
8320,Djordje Mihailovic,M,CHI,9,8,582,1,4,0,0,9,2,22.22,11.1,2018,0,8.0,18.0,8.0,-13.0
8321,Brandon Vincent,D,CHI,32,31,2828,1,4,3,0,13,4,30.77,7.7,2018,0,8.0,18.0,8.0,-13.0
8322,Rasmus Schuller,M,MIN,31,29,2547,1,4,5,0,16,7,43.75,6.3,2018,0,11.0,20.0,3.0,-22.0
8323,Michael Amir Murillo,D,NY,23,21,1935,1,4,4,1,19,5,26.32,5.3,2018,0,22.0,7.0,5.0,29.0
8324,Jack Price,M,COL,31,31,2750,1,4,10,0,21,8,38.1,4.8,2018,0,8.0,19.0,7.0,-27.0
8325,Luis Alberto Caicedo,M,NE,30,29,2590,1,4,11,0,35,9,25.71,2.9,2018,0,10.0,13.0,11.0,-6.0
8326,Greg Garza,D,CIN,11,10,927,1,3,2,1,5,2,40.0,20.0,2018,0,,,,
8327,Rolf Feltscher,D,LA,15,15,1295,1,3,6,0,7,2,28.57,14.3,2018,0,13.0,12.0,9.0,2.0
8328,Justin Morrow,D,TOR,21,20,1790,1,3,3,0,8,5,62.5,12.5,2018,0,10.0,18.0,6.0,-5.0
8329,Dave Romney,D,NSH,28,26,2354,1,3,3,0,8,3,37.5,12.5,2018,0,,,,
8330,Jonathan Lewis,F,COL,14,0,219,1,3,0,0,10,2,20.0,10.0,2018,0,8.0,19.0,7.0,-27.0
8331,Reggie Cannon,D,DAL,33,33,2921,1,3,4,0,10,4,40.0,10.0,2018,0,16.0,9.0,9.0,8.0
8332,Ryan Hollingshead,M,DAL,18,7,766,1,3,0,0,11,7,63.64,9.1,2018,0,16.0,9.0,9.0,8.0
8333,Cristhian Paredes,M,POR,19,18,1418,1,3,1,0,21,8,38.1,4.8,2018,0,15.0,10.0,9.0,6.0
8334,Krisztian Nemeth,F,NE,24,8,852,1,3,1,0,27,10,37.04,3.7,2018,0,10.0,13.0,11.0,-6.0
8335,Keegan Rosenberry,D,COL,32,31,2773,1,3,3,0,31,10,32.26,3.2,2018,0,8.0,19.0,7.0,-27.0
8336,Russell Teibert,M,VAN,23,17,1604,1,2,3,0,5,1,20.0,20.0,2018,0,13.0,13.0,8.0,-13.0
8337,Eric Alexander,M,HOU,21,20,1662,1,2,3,1,7,1,14.29,14.3,2018,0,10.0,16.0,8.0,0.0
8338,Jukka Raitala,D,MTL,28,25,2290,1,2,2,0,8,2,25.0,12.5,2018,0,14.0,16.0,4.0,-6.0
8339,Patrick Mullins,F,TOR,20,4,510,1,2,0,0,10,4,40.0,10.0,2018,0,10.0,18.0,6.0,-5.0
8340,Marcus Epps,M,PHI,13,8,609,1,2,0,0,10,3,30.0,10.0,2018,0,15.0,14.0,5.0,-1.0
8341,DaMarcus Beasley,D,HOU,26,26,2208,1,2,0,1,11,7,63.64,9.1,2018,0,10.0,16.0,8.0,0.0
8342,Victor Ulloa,M,MIA,27,25,2172,1,2,1,0,12,3,25.0,8.3,2018,0,,,,
8343,Brandon Bye,D,NE,24,16,1470,1,2,4,0,12,5,41.67,8.3,2018,0,10.0,13.0,11.0,-6.0
8344,Leandro Gonzalez Pirez,D,MIA,32,32,2775,1,2,8,1,13,5,38.46,7.7,2018,0,,,,
8345,Andres Flores,M,POR,26,11,1159,1,2,1,0,14,2,14.29,7.1,2018,0,15.0,10.0,9.0,6.0
8346,Tim Parker,D,NY,29,29,2610,1,2,5,0,16,7,43.75,6.3,2018,0,22.0,7.0,5.0,29.0
8347,Eduard Atuesta,M,LAFC,25,16,1501,1,2,5,0,19,4,21.05,5.3,2018,0,16.0,9.0,9.0,16.0
8348,Diego Campos,D,CHI,23,13,1197,1,2,1,0,19,6,31.58,5.3,2018,0,8.0,18.0,8.0,-13.0
8349,Jeff Larentowicz,M,ATL,34,33,2771,1,2,6,0,24,4,16.67,4.2,2018,0,21.0,7.0,6.0,26.0
8350,Quincy Amarikwa,F,MTL,24,8,913,1,2,1,0,26,11,42.31,3.8,2018,0,14.0,16.0,4.0,-6.0
8351,Andy Polo,M,POR,23,18,1633,1,2,2,0,33,14,42.42,3.0,2018,0,15.0,10.0,9.0,6.0
8352,Kelyn Rowe,M,NE,27,18,1611,1,2,6,0,35,8,22.86,2.9,2018,0,10.0,13.0,11.0,-6.0
8353,Yeferson Quintana,D,SJ,13,10,794,1,1,3,0,4,2,50.0,25.0,2018,0,4.0,21.0,9.0,-22.0
8354,Lucas Melano,F,POR,7,1,143,1,1,1,0,5,4,80.0,20.0,2018,0,15.0,10.0,9.0,6.0
8355,Jacori Hayes,M,MIN,16,10,998,1,1,2,0,8,4,50.0,12.5,2018,0,11.0,20.0,3.0,-22.0
8356,Russell Canouse,M,DC,20,17,1533,1,1,4,0,8,3,37.5,12.5,2018,0,14.0,11.0,9.0,10.0
8357,Wil Trapp,M,MIA,30,29,2620,1,1,3,0,8,3,37.5,12.5,2018,0,,,,
8358,Gianluca Busio,M,KC,7,1,153,1,1,0,0,8,1,12.5,12.5,2018,0,18.0,8.0,8.0,25.0
8359,Ryan Telfer,F,TOR,15,9,813,1,1,1,0,8,3,37.5,12.5,2018,0,10.0,18.0,6.0,-5.0
8360,Auston Trusty,D,COL,34,34,3060,1,1,4,0,10,2,20.0,10.0,2018,0,8.0,19.0,7.0,-27.0
8361,Mike Grella,M,CLB,12,5,480,1,1,1,0,10,3,30.0,10.0,2018,0,14.0,11.0,9.0,-2.0
8362,Eduardo Sosa,M,CLB,10,3,385,1,1,1,1,11,4,36.36,9.1,2018,0,14.0,11.0,9.0,-2.0
8363,Abu Danladi,F,NSH,16,5,483,1,1,1,0,12,6,50.0,8.3,2018,0,,,,
8364,Ricardo Clark,M,CLB,13,8,642,1,1,1,0,12,3,25.0,8.3,2018,0,14.0,11.0,9.0,-2.0
8365,Bismark Adjei-Boateng,M,COL,20,14,1236,1,1,6,1,12,4,33.33,8.3,2018,0,8.0,19.0,7.0,-27.0
8366,Oniel Fisher,D,DC,24,20,1832,1,1,3,0,14,1,7.14,7.1,2018,0,14.0,11.0,9.0,10.0
8367,Magnus Wolff Eikrem,M,SEA,15,6,594,1,1,2,0,15,3,20.0,6.7,2018,0,18.0,11.0,5.0,15.0
8368,Elliot Collier,F,CHI,16,9,904,1,1,1,0,15,5,33.33,6.7,2018,0,8.0,18.0,8.0,-13.0
8369,Rodney Wallace,D,NYC,18,9,818,1,1,2,0,20,4,20.0,5.0,2018,0,16.0,10.0,8.0,14.0
8370,Anthony Blondell,F,VAN,18,8,641,1,1,1,0,20,7,35.0,5.0,2018,0,13.0,13.0,8.0,-13.0
8371,Kyle Beckerman,M,RSL,31,29,2621,1,1,8,0,23,5,21.74,4.3,2018,0,14.0,13.0,7.0,-3.0
8372,Will Johnson,D,ORL,28,26,2194,1,1,7,0,33,13,39.39,3.0,2018,0,8.0,22.0,4.0,-31.0
8373,Clint Dempsey,M,SEA,14,9,902,1,1,1,1,39,12,30.77,2.6,2018,0,18.0,11.0,5.0,15.0
8374,Ben Mines,M,NY,1,1,90,1,0,1,0,1,1,100.0,100.0,2018,0,22.0,7.0,5.0,29.0
8375,Alex Crognale,D,CLB,5,0,97,1,0,0,0,1,1,100.0,100.0,2018,0,14.0,11.0,9.0,-2.0
8376,Mitchell Taintor,D,TOR,1,1,90,1,0,1,0,1,1,100.0,100.0,2018,0,10.0,18.0,6.0,-5.0
8377,Nick Besler,M,RSL,22,15,1431,1,0,1,0,2,1,50.0,50.0,2018,0,14.0,13.0,7.0,-3.0
8378,Chris Tierney,D,NE,6,3,308,1,0,1,0,2,2,100.0,50.0,2018,0,10.0,13.0,11.0,-6.0
8379,George Bello,D,ATL,3,2,177,1,0,0,0,2,1,50.0,50.0,2018,0,21.0,7.0,6.0,26.0
8380,Kevin Garcia,D,HOU,15,11,1103,1,0,0,0,3,1,33.33,33.3,2018,0,10.0,16.0,8.0,0.0
8381,Jordy Delem,M,SEA,16,10,856,1,0,5,0,3,1,33.33,33.3,2018,0,18.0,11.0,5.0,15.0
8382,Chris Schuler,D,ORL,9,8,785,1,0,3,0,4,1,25.0,25.0,2018,0,8.0,22.0,4.0,-31.0
8383,Lamine Sane,D,ORL,16,15,1373,1,0,1,0,4,2,50.0,25.0,2018,0,8.0,22.0,4.0,-31.0
8384,Tyrone Mears,D,MIN,11,10,883,1,0,3,0,5,3,60.0,20.0,2018,0,11.0,20.0,3.0,-22.0
8385,Michael Ciani,D,LA,21,19,1647,1,0,5,0,5,1,20.0,20.0,2018,0,13.0,12.0,9.0,2.0
8386,Leonardo,D,HOU,24,19,1770,1,0,4,0,5,1,20.0,20.0,2018,0,10.0,16.0,8.0,0.0
8387,Tony Tchani,M,CHI,13,9,825,1,0,1,0,5,2,40.0,20.0,2018,0,8.0,18.0,8.0,-13.0
8388,Anthony Fontana,M,PHI,5,1,98,1,0,0,0,5,1,20.0,20.0,2018,0,15.0,14.0,5.0,-1.0
8389,Jose Aja,D,MIN,17,17,1512,1,0,4,1,5,1,20.0,20.0,2018,0,11.0,20.0,3.0,-22.0
8390,Cole Bassett,M,COL,6,3,307,1,0,0,0,5,1,20.0,20.0,2018,0,8.0,19.0,7.0,-27.0
8391,Wan Kuzain Wan Kamal,M,KC,6,3,307,1,0,1,0,5,2,40.0,20.0,2018,0,18.0,8.0,8.0,25.0
8392,Brian White,F,NY,5,2,217,1,0,0,0,5,1,20.0,20.0,2018,0,22.0,7.0,5.0,29.0
8393,Amro Tarek,D,NY,20,19,1697,1,0,3,0,6,4,66.67,16.7,2018,0,22.0,7.0,5.0,29.0
8394,Rod Fanni,D,MTL,26,26,2290,1,0,0,0,6,2,33.33,16.7,2018,0,14.0,16.0,4.0,-6.0
8395,Ebenezer Ofori,M,NYC,27,21,1895,1,0,3,1,7,2,28.57,14.3,2018,0,16.0,10.0,8.0,14.0
8396,Ronaldo Pena,F,HOU,9,2,222,1,0,2,1,7,5,71.43,14.3,2018,0,10.0,16.0,8.0,0.0
8397,Joao Moutinho,D,ORL,14,10,872,1,0,2,1,7,1,14.29,14.3,2018,0,8.0,22.0,4.0,-31.0
8398,Romario Williams,F,ATL,17,0,211,1,0,4,0,8,3,37.5,12.5,2018,0,21.0,7.0,6.0,26.0
8399,Darwin Ceren,M,HOU,24,20,1858,1,0,9,1,8,2,25.0,12.5,2018,0,10.0,16.0,8.0,0.0
8400,Lawrence Olum,D,POR,22,18,1632,1,0,2,1,8,2,25.0,12.5,2018,0,15.0,10.0,9.0,6.0
8401,Brian Wright,F,NE,10,2,258,1,0,0,0,9,3,33.33,11.1,2018,0,10.0,13.0,11.0,-6.0
8402,Micheal Azira,M,CHI,15,11,998,1,0,4,0,9,3,33.33,11.1,2018,0,8.0,18.0,8.0,-13.0
8403,Lalas Abubakar,D,COL,23,20,1771,1,0,3,0,9,3,33.33,11.1,2018,0,8.0,19.0,7.0,-27.0
8404,Chris McCann,M,ATL,22,21,1800,1,0,6,0,10,4,40.0,10.0,2018,0,21.0,7.0,6.0,26.0
8405,Bacary Sagna,D,MTL,9,9,810,1,0,3,0,10,4,40.0,10.0,2018,0,14.0,16.0,4.0,-6.0
8406,Maxime Chanot,D,NYC,18,18,1571,1,0,2,1,11,3,27.27,9.1,2018,0,16.0,10.0,8.0,14.0
8407,Bill Tuiloma,D,POR,13,7,713,1,0,0,0,11,4,36.36,9.1,2018,0,15.0,10.0,9.0,6.0
8408,Memo Rodriguez,M,HOU,19,6,645,1,0,1,0,12,2,16.67,8.3,2018,0,10.0,16.0,8.0,0.0
8409,Franco Escobar,D,ATL,22,20,1789,1,0,7,0,14,3,21.43,7.1,2018,0,21.0,7.0,6.0,26.0
8410,Maynor Figueroa,D,HOU,16,11,1008,1,0,2,0,14,6,42.86,7.1,2018,0,10.0,16.0,8.0,0.0
8411,Jonathan Mensah,D,CLB,27,26,2347,1,0,7,0,19,6,31.58,5.3,2018,0,14.0,11.0,9.0,-2.0
8412,Valentin Castellanos,F,NYC,8,5,446,1,0,2,0,20,6,30.0,5.0,2018,0,16.0,10.0,8.0,14.0
8413,Alexander Callens,D,NYC,31,31,2750,1,0,6,0,21,2,9.52,4.8,2018,0,16.0,10.0,8.0,14.0
8414,Dairon Asprilla,M,POR,17,7,688,1,0,3,0,23,9,39.13,4.3,2018,0,15.0,10.0,9.0,6.0
8415,Dillon Serna,M,COL,20,10,1181,1,0,3,0,24,7,29.17,4.2,2018,0,8.0,19.0,7.0,-27.0
8416,David Accam,F,NSH,23,13,1213,1,0,3,0,37,14,37.84,2.7,2018,0,,,,
8417,Sean Davis,M,NY,32,30,2579,0,8,1,0,8,3,37.5,0.0,2018,0,22.0,7.0,5.0,29.0
8418,Tyler Adams,M,NY,27,26,2328,0,7,3,0,13,1,7.69,0.0,2018,0,22.0,7.0,5.0,29.0
8419,Brooks Lennon,D,ATL,33,32,2850,0,5,7,0,7,3,42.86,0.0,2018,0,21.0,7.0,6.0,26.0
8420,Kelvin Leerdam,D,SEA,26,24,1967,0,5,4,1,11,2,18.18,0.0,2018,0,18.0,11.0,5.0,15.0
8421,Michael Bradley,M,TOR,32,32,2857,0,5,6,0,13,3,23.08,0.0,2018,0,10.0,18.0,6.0,-5.0
8422,Gregory van der Wiel,D,TOR,27,25,2295,0,4,1,1,4,1,25.0,0.0,2018,0,10.0,18.0,6.0,-5.0
8423,Johan Kappelhof,D,CHI,29,29,2604,0,4,9,1,5,2,40.0,0.0,2018,0,8.0,18.0,8.0,-13.0
8424,Yangel Herrera,M,NYC,15,13,1111,0,4,4,0,21,7,33.33,0.0,2018,0,16.0,10.0,8.0,14.0
8425,Matt Besler,D,KC,31,31,2745,0,3,2,0,1,0,0.0,0.0,2018,0,18.0,8.0,8.0,25.0
8426,Tony Rocha,M,NYC,12,9,819,0,3,1,0,7,2,28.57,0.0,2018,0,16.0,10.0,8.0,14.0
8427,Marcel de Jong,D,VAN,19,17,1392,0,3,3,0,10,3,30.0,0.0,2018,0,13.0,13.0,8.0,-13.0
8428,Dax McCarty,M,CHI,26,26,2259,0,3,5,0,10,2,20.0,0.0,2018,0,8.0,18.0,8.0,-13.0
8429,Nicolas Hasler,D,CHI,24,19,1725,0,3,0,0,11,4,36.36,0.0,2018,0,8.0,18.0,8.0,-13.0
8430,Samuel Piette,M,MTL,34,34,3000,0,3,5,0,11,2,18.18,0.0,2018,0,14.0,16.0,4.0,-6.0
8431,Auro,D,TOR,18,16,1424,0,3,3,0,12,2,16.67,0.0,2018,0,10.0,18.0,6.0,-5.0
8432,Osvaldo Alonso,M,SEA,25,21,1833,0,3,6,0,13,2,15.38,0.0,2018,0,18.0,11.0,5.0,15.0
8433,Jackson Yueill,M,SJ,21,15,1293,0,3,0,0,15,2,13.33,0.0,2018,0,4.0,21.0,9.0,-22.0
8434,Aaron Kovar,M,LFC,11,7,523,0,3,0,0,16,5,31.25,0.0,2018,0,,,,
8435,Johan Blomberg,M,COL,24,21,1657,0,3,5,0,17,2,11.76,0.0,2018,0,8.0,19.0,7.0,-27.0
8436,Darlington Nagbe,M,CLB,23,23,1970,0,3,0,0,18,2,11.11,0.0,2018,0,14.0,11.0,9.0,-2.0
8437,Enzo Martinez,M,COL,22,15,1406,0,3,4,0,22,7,31.82,0.0,2018,0,8.0,19.0,7.0,-27.0
8438,Michael Parkhurst,D,ATL,33,32,2903,0,2,6,0,0,0,,0.0,2018,0,21.0,7.0,6.0,26.0
8439,Ethan Kutler,D,NY,4,1,101,0,2,0,0,1,0,0.0,0.0,2018,0,22.0,7.0,5.0,29.0
8440,Saad Abdul-Salaam,D,CIN,4,3,273,0,2,1,0,1,0,0.0,0.0,2018,0,,,,
8441,RJ Allen,D,ORL,18,10,966,0,2,2,0,3,0,0.0,0.0,2018,0,8.0,22.0,4.0,-31.0
8442,Jorgen Skjelvik,D,LA,32,29,2585,0,2,6,0,4,1,25.0,0.0,2018,0,13.0,12.0,9.0,2.0
8443,Efrain Juarez,M,VAN,16,14,1159,0,2,4,2,4,1,25.0,0.0,2018,0,13.0,13.0,8.0,-13.0
8444,Joseph Mora,D,DC,30,28,2523,0,2,3,1,4,0,0.0,0.0,2018,0,14.0,11.0,9.0,10.0
8445,Danilo Acosta,D,LA,12,10,896,0,2,0,0,4,2,50.0,0.0,2018,0,13.0,12.0,9.0,2.0
8446,Marlon Hairston,M,MIN,15,13,1107,0,2,1,0,5,1,20.0,0.0,2018,0,11.0,20.0,3.0,-22.0
8447,Shea Salinas,M,SJ,25,20,1820,0,2,3,1,5,1,20.0,0.0,2018,0,4.0,21.0,9.0,-22.0
8448,Servando Carrasco,M,LA,19,10,1001,0,2,3,0,6,3,50.0,0.0,2018,0,13.0,12.0,9.0,2.0
8449,Mikey Ambrose,D,MIA,9,8,731,0,2,1,0,6,0,0.0,0.0,2018,0,,,,
8450,Junior Moreno,M,DC,20,17,1528,0,2,1,0,7,2,28.57,0.0,2018,0,14.0,11.0,9.0,10.0
8451,Vincent Bezecourt,M,NY,9,5,395,0,2,1,0,7,2,28.57,0.0,2018,0,22.0,7.0,5.0,29.0
8452,Raymon Gaddis,D,PHI,28,25,2298,0,2,1,0,11,5,45.45,0.0,2018,0,15.0,14.0,5.0,-1.0
8453,Gabriel Somi,D,NE,14,12,1043,0,2,3,0,11,2,18.18,0.0,2018,0,10.0,13.0,11.0,-6.0
8454,Perry Kitchen,M,LA,31,27,2339,0,2,7,0,13,2,15.38,0.0,2018,0,13.0,12.0,9.0,2.0
8455,Seth Sinovic,D,NE,23,19,1650,0,2,4,1,13,2,15.38,0.0,2018,0,10.0,13.0,11.0,-6.0
8456,Cristian Martinez,M,CLB,14,11,841,0,2,1,0,14,5,35.71,0.0,2018,0,14.0,11.0,9.0,-2.0
8457,Anibal Godoy,M,NSH,27,27,2348,0,2,8,0,15,3,20.0,0.0,2018,0,,,,
8458,Mohamed El-Munir,D,LAFC,26,23,2089,0,2,6,1,23,8,34.78,0.0,2018,0,16.0,9.0,9.0,16.0
8459,Artur,M,CLB,32,32,2784,0,2,5,0,43,9,20.93,0.0,2018,0,14.0,11.0,9.0,-2.0
8460,Ian Harkes,M,DC,8,4,352,0,1,0,0,0,0,,0.0,2018,0,14.0,11.0,9.0,10.0
8461,Connor Maloney,D,CLB,1,0,28,0,1,1,0,0,0,,0.0,2018,0,14.0,11.0,9.0,-2.0
8462,Drew Conner,M,CHI,11,5,462,0,1,2,1,0,0,,0.0,2018,0,8.0,18.0,8.0,-13.0
8463,Ayo Akinola,F,TOR,4,0,45,0,1,0,0,0,0,,0.0,2018,0,10.0,18.0,6.0,-5.0
8464,Luke Mulholland,M,RSL,2,1,91,0,1,0,0,0,0,,0.0,2018,0,14.0,13.0,7.0,-3.0
