,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,best_11
888,Jeff Attinella,POR,G,10,10,900,64,40,24,2.4,2-Feb,3,6,1,1.0,30.0,62.5,2015,reg,0
889,Andrew Dykstra,DC,G,9,9,778,57,40,16,1.78,0/1,3,4,1,0.0,33.3,70.2,2015,reg,0
890,Luis Marin,KC,G,8,8,720,30,19,12,1.5,0/0,2,2,4,3.0,25.0,63.3,2015,reg,0
891,Chris Seitz,DC,G,7,7,630,27,17,10,1.43,0/1,4,2,1,3.0,57.1,63.0,2015,reg,0
892,Brian Rowe,ORL,G,7,7,630,22,13,9,1.29,0/0,3,3,1,2.0,42.9,59.1,2015,reg,0
893,Andre Blake,PHI,G,6,6,540,34,26,9,1.5,1-Jan,2,3,1,2.0,33.3,76.5,2015,reg,0
894,Rais MBolhi,ALG,G,5,5,450,20,10,9,1.8,1-Jan,0,3,2,1.0,0.0,50.0,2015,reg,0
895,Troy Perkins,SEA,G,4,3,316,15,12,3,1.0,0/0,1,3,0,0.0,25.0,80.0,2015,reg,0
896,Eric Kronberg,MTL,G,3,3,270,11,6,5,1.67,0/0,0,1,2,0.0,0.0,54.5,2015,reg,0
897,Brad Knighton,NE,G,3,3,270,16,9,6,2.0,2-Feb,1,1,1,1.0,33.3,56.3,2015,reg,0
898,Joe Willis,NSH,G,3,3,270,10,5,5,1.67,0/0,1,1,1,0.0,33.3,50.0,2015,reg,0
899,Jon Kempin,CLB,G,3,3,270,11,6,5,1.67,0/0,1,1,1,0.0,33.3,54.5,2015,reg,0
900,Zac MacMath,RSL,G,3,3,270,12,6,5,1.67,0/0,1,2,0,1.0,33.3,50.0,2015,reg,0
901,Josh Ford,ORL,G,2,1,96,6,5,1,1.0,1-Jan,0,1,0,0.0,0.0,83.3,2015,reg,0
902,Travis Worra,DC,G,1,0,32,1,1,0,0.0,0/0,1,0,0,0.0,100.0,100.0,2015,reg,0
903,Alec Kann,ATL,G,1,1,90,8,6,2,2.0,1-Jan,0,1,0,0.0,0.0,75.0,2015,reg,0
904,Ryan Meara,NY,G,1,1,90,7,6,1,1.0,0/0,0,1,0,0.0,0.0,85.7,2015,reg,0
905,Andrew Weber,POR,G,1,1,90,7,4,3,3.0,0/0,0,1,0,0.0,0.0,57.1,2015,reg,0
906,Kyle Reynish,NYR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
907,Kristian Nicht,MTL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
908,Jake Gleeson,POR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
909,Brian Perk,LA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
910,Paolo Tornaghi,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
911,Earl Edwards Jr.,DC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
912,Michael Lisch,HOU,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
913,Santiago Castano,NYR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
914,Brad Stuver,NYC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
915,Maxime Crepeau,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
916,Eirik Johansen,NYC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
917,Bryan Meredith,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
918,Matt Lampson,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
919,Quillan Roberts,TOR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
920,Lalo Fernandez,RSL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
921,Akira Fitzgerald,NYC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
922,Charlie Lyon,SEA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
923,Alex Bono,TOR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
924,Marco Carducci,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
925,John Berner,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
926,Trevor Spangenberg,NE,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
927,Andrew Wolverton,LA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
928,Tomas Gomez,SJ,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2015,reg,0
929,David Bingham,LA,G,34,34,3015,146,106,39,1.15,4-Apr,8,12,14,8.0,23.5,72.6,2016,reg,0
930,Joe Bendik,PHI,G,34,34,3060,178,114,60,1.76,7-Apr,9,11,14,5.0,26.5,64.0,2016,reg,0
931,Luis Robles,NY,G,34,34,3060,143,100,44,1.29,4-Mar,16,9,9,11.0,47.1,69.9,2016,reg,0
932,Evan Bush,MTL,G,33,33,2931,155,101,50,1.52,5-Apr,11,11,11,6.0,33.3,65.2,2016,reg,0
933,David Ousted,VAN,G,33,33,2970,166,110,52,1.58,8-Jun,10,15,8,6.0,30.3,66.3,2016,reg,0
934,Josh Saunders,NYC,G,33,33,2970,158,98,56,1.7,6-May,14,10,9,8.0,42.4,62.0,2016,reg,0
935,Stefan Frei,SEA,G,33,33,2970,137,91,41,1.24,8-Jun,14,13,6,8.0,42.4,66.4,2016,reg,0
936,Steve Clark,POR,G,32,32,2880,161,112,51,1.59,5-Apr,8,12,12,8.0,25.0,69.6,2016,reg,0
937,Andre Blake,PHI,G,32,32,2880,150,99,50,1.56,0/1,10,13,9,6.0,31.3,66.0,2016,reg,1
938,Brian Rowe,ORL,G,31,30,2765,148,113,33,1.1,3-Feb,12,5,14,9.0,38.7,76.4,2016,reg,0
939,Nick Rimando,RSL,G,30,30,2700,137,91,40,1.33,5-Mar,11,9,10,6.0,36.7,66.4,2016,reg,0
940,Jake Gleeson,POR,G,28,27,2470,160,118,40,1.48,6-Jun,11,11,6,6.0,39.3,73.8,2016,reg,0
941,Chris Seitz,DC,G,28,28,2520,95,63,29,1.04,4-Mar,14,5,9,10.0,50.0,66.3,2016,reg,0
942,Tim Melia,KC,G,27,27,2430,95,66,30,1.11,4-Mar,11,11,5,8.0,40.7,69.5,2016,reg,0
943,Joe Willis,NSH,G,26,24,2275,129,89,39,1.63,6-May,5,12,9,5.0,19.2,69.0,2016,reg,0
944,Sean Johnson,NYC,G,22,22,1980,106,68,37,1.68,1-Jan,6,10,6,5.0,27.3,64.2,2016,reg,0
945,Bobby Shuttleworth,CHI,G,21,20,1814,89,50,38,1.9,6-Apr,4,9,8,5.0,19.0,56.2,2016,reg,0
946,Bill Hamid,DC,G,20,20,1800,93,68,25,1.25,3-Mar,8,3,9,5.0,40.0,73.1,2016,reg,0
947,Clint Irwin,COL,G,19,19,1690,76,50,23,1.21,2-Feb,6,6,6,6.0,31.6,65.8,2016,reg,0
948,Tim Howard,COL,G,17,17,1530,73,54,19,1.12,7-Apr,6,3,8,7.0,35.3,74.0,2016,reg,0
949,Zac MacMath,RSL,G,17,17,1530,57,39,13,0.76,0/1,9,3,5,6.0,52.9,68.4,2016,reg,0
950,Alex Bono,TOR,G,16,15,1370,60,42,16,1.07,1-Jan,8,3,5,4.0,50.0,70.0,2016,reg,0
951,Brad Knighton,NE,G,13,13,1153,49,31,16,1.23,3-Mar,6,5,1,2.0,46.2,63.3,2016,reg,0
952,Travis Worra,DC,G,13,13,1170,52,34,18,1.38,0/0,3,6,4,4.0,23.1,65.4,2016,reg,0
953,Matt Lampson,CLB,G,11,11,990,76,55,18,1.64,1-Jan,1,6,4,3.0,9.1,72.4,2016,reg,0
954,Tyler Deric,HOU,G,10,10,772,37,31,6,0.6,0/0,2,2,4,4.0,20.0,83.8,2016,reg,0
955,Adam Kwarasey,POR,G,7,7,590,31,19,13,1.86,1-Jan,1,3,2,0.0,14.3,61.3,2016,reg,0
956,Alec Kann,ATL,G,7,7,630,28,17,11,1.57,0/0,2,2,3,2.0,28.6,60.7,2016,reg,0
957,Jesse Gonzalez,DAL,G,6,6,540,22,12,11,1.83,0/0,3,3,0,2.0,50.0,54.5,2016,reg,0
958,Jeff Attinella,POR,G,4,4,360,13,8,6,1.5,1-Jan,1,3,0,0.0,25.0,61.5,2016,reg,0
959,Dan Kennedy,LA,G,3,2,115,7,4,3,1.5,0/0,0,0,1,0.0,0.0,57.1,2016,reg,0
960,Eric Kronberg,MTL,G,2,1,128,5,2,3,3.0,1-Jan,0,0,1,0.0,0.0,40.0,2016,reg,0
961,Clement Diop,MTL,G,2,2,180,15,11,3,1.5,1-Jan,0,1,1,0.0,0.0,73.3,2016,reg,0
962,Brad Stuver,NYC,G,2,2,180,15,8,7,3.5,0/1,0,2,0,0.0,0.0,53.3,2016,reg,0
963,Andrew Tarbell,CLB,G,1,0,45,2,1,1,1.0,1-Jan,0,0,0,0.0,0.0,50.0,2016,reg,0
964,Patrick McLain,CHI,G,1,1,90,6,3,3,3.0,1-Jan,0,1,0,0.0,0.0,50.0,2016,reg,0
965,John McCarthy,MIA,G,1,1,90,5,3,3,3.0,0/0,0,1,0,0.0,0.0,60.0,2016,reg,0
966,Matt Jones,PHI,G,1,1,90,5,2,2,2.0,0/0,1,0,0,0.0,100.0,40.0,2016,reg,0
967,Tyler Miller,MIN,G,1,1,90,4,2,2,2.0,0/0,0,1,0,0.0,0.0,50.0,2016,reg,0
968,Cody Cropper,HOU,G,1,1,90,2,2,0,0.0,0/0,1,0,0,1.0,100.0,100.0,2016,reg,0
969,Eirik Johansen,NYC,G,1,1,90,6,5,1,1.0,0/0,1,0,0,0.0,100.0,83.3,2016,reg,0
970,Paolo Tornaghi,VAN,G,1,1,90,6,6,0,0.0,0/0,0,0,1,1.0,0.0,100.0,2016,reg,0
971,Andrew Dykstra,DC,G,1,1,90,7,3,4,4.0,1-Jan,0,1,0,0.0,0.0,42.9,2016,reg,0
972,Chris Konopka,POR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
973,Tally Hall,DC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
974,Kyle Reynish,NY,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
975,Bryan Meredith,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
976,Ryan Meara,NY,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
977,Quillan Roberts,TOR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
978,Lalo Fernandez,RSL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
979,Jon Kempin,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
980,Zack Steffen,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
981,Charlie Horton,DC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
982,Ryan Herman,DAL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
983,Marco Carducci,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
984,John Berner,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
985,Earl Edwards Jr.,DC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
986,Maxime Crepeau,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
987,Chris Froschauer,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
988,Matt Pacifici,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
989,Andre Rawls,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
990,Matt Turner,NE,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
991,Charlie Lyon,SEA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
992,Calle Brown,HOU,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
993,Wade Hamilton,POR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
994,Mason Stajduhar,ORL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2016,reg,0
995,Luis Robles,NY,G,34,34,3060,149,99,47,1.38,9-Aug,14,12,8,10.0,41.2,66.4,2017,reg,0
996,Zack Steffen,CLB,G,34,34,3060,150,98,49,1.44,7-Apr,16,12,6,9.0,47.1,65.3,2017,reg,0
997,Bobby Shuttleworth,CHI,G,33,32,2838,174,116,60,1.88,8-Jun,10,16,5,5.0,30.3,66.7,2017,reg,0
998,Stefan Frei,SEA,G,33,33,2970,121,84,36,1.09,6-May,13,9,11,13.0,39.4,69.4,2017,reg,0
999,Joe Bendik,PHI,G,33,33,2970,173,118,52,1.58,5-Apr,10,14,9,7.0,30.3,68.2,2017,reg,0
1000,Sean Johnson,NYC,G,32,32,2880,137,96,39,1.22,4-Mar,15,8,9,7.0,46.9,70.1,2017,reg,0
1001,Tim Melia,KC,G,31,31,2759,116,91,24,0.77,5-Feb,12,7,11,10.0,38.7,78.4,2017,reg,1
1002,Evan Bush,MTL,G,31,31,2790,136,84,50,1.61,3-Mar,11,14,6,5.0,35.5,61.8,2017,reg,0
1003,Alex Bono,TOR,G,29,28,2570,104,72,32,1.14,5-Mar,19,4,6,10.0,65.5,69.2,2017,reg,0
1004,Jesse Gonzalez,DAL,G,29,29,2610,118,75,40,1.38,1-Jan,8,8,13,9.0,27.6,63.6,2017,reg,0
1005,David Ousted,VAN,G,28,28,2453,132,90,39,1.39,4-Apr,13,8,6,6.0,46.4,68.2,2017,reg,0
1006,Nick Rimando,RSL,G,28,28,2488,110,73,33,1.18,3-Jan,13,10,5,8.0,46.4,66.4,2017,reg,0
1007,Cody Cropper,HOU,G,28,28,2520,124,71,50,1.79,4-Apr,10,14,4,8.0,35.7,57.3,2017,reg,0
1008,Tyler Deric,HOU,G,26,26,2340,109,76,31,1.19,2-Feb,10,6,10,6.0,38.5,69.7,2017,reg,0
1009,Andre Blake,PHI,G,26,26,2340,125,88,34,1.31,5-Apr,9,10,7,9.0,34.6,70.4,2017,reg,0
1010,Tim Howard,COL,G,25,25,2250,126,84,39,1.56,6-May,7,14,4,5.0,28.0,66.7,2017,reg,0
1011,Bill Hamid,DC,G,24,24,2160,132,98,35,1.46,4-Mar,8,12,4,6.0,33.3,74.2,2017,reg,0
1012,Matt Lampson,CLB,G,24,24,2160,91,58,31,1.29,3-Mar,12,7,5,8.0,50.0,63.7,2017,reg,0
1013,David Bingham,LA,G,23,23,2070,94,58,35,1.52,2-Feb,9,9,5,7.0,39.1,61.7,2017,reg,0
1014,Jake Gleeson,POR,G,21,21,1818,83,52,30,1.43,3-Mar,8,6,6,3.0,38.1,62.7,2017,reg,0
1015,Alec Kann,ATL,G,18,18,1620,83,56,25,1.39,4-Apr,8,7,3,4.0,44.4,67.5,2017,reg,0
1016,Clement Diop,MTL,G,15,15,1331,89,54,31,2.07,1-Jan,4,8,3,2.0,26.7,60.7,2017,reg,0
1017,Brian Rowe,ORL,G,14,12,1157,60,35,23,1.92,2-Feb,3,6,4,2.0,21.4,58.3,2017,reg,0
1018,Jeff Attinella,POR,G,14,13,1242,64,45,20,1.54,0/1,7,5,2,4.0,50.0,70.3,2017,reg,0
1019,Brad Guzan,ATL,G,14,14,1260,47,38,10,0.71,1-Jan,6,1,7,8.0,42.9,80.9,2017,reg,0
1020,Andrew Tarbell,CLB,G,11,11,990,65,40,25,2.27,0/1,4,5,2,2.0,36.4,61.5,2017,reg,0
1021,Zac MacMath,RSL,G,9,9,810,40,27,12,1.33,2-Feb,2,5,2,1.0,22.2,67.5,2017,reg,0
1022,Joe Willis,NSH,G,8,8,720,31,17,14,1.75,1-Jan,3,4,1,2.0,37.5,54.8,2017,reg,0
1023,Jorge Rodrigo Bava,CHI,G,8,8,720,31,20,12,1.5,0/0,3,3,2,3.0,37.5,64.5,2017,reg,0
1024,John McCarthy,MIA,G,8,8,720,49,34,13,1.63,2-Feb,2,4,2,1.0,25.0,69.4,2017,reg,0
1025,Jon Kempin,CLB,G,7,7,570,40,27,13,1.86,0/2,1,4,1,2.0,14.3,67.5,2017,reg,0
1026,Matt Van Oekel,RSL,G,7,6,572,47,25,22,3.67,1-Jan,0,5,1,1.0,0.0,53.2,2017,reg,0
1027,Clint Irwin,COL,G,6,6,490,18,13,5,0.83,0/1,1,1,3,2.0,16.7,72.2,2017,reg,0
1028,Brad Knighton,NE,G,6,6,540,31,20,11,1.83,1-Jan,3,1,2,1.0,50.0,64.5,2017,reg,0
1029,Chris Seitz,DC,G,5,5,450,20,12,8,1.6,3-Feb,3,2,0,0.0,60.0,60.0,2017,reg,0
1030,Stefan Marinovic,VAN,G,5,5,450,27,21,5,1.0,0/1,2,2,1,1.0,40.0,77.8,2017,reg,0
1031,Steve Clark,POR,G,5,5,450,27,13,11,2.2,3-Feb,1,3,1,1.0,20.0,48.1,2017,reg,0
1032,Travis Worra,DC,G,5,5,450,26,11,14,2.8,0/0,0,5,0,0.0,0.0,42.3,2017,reg,0
1033,Andrew Dykstra,KC,G,4,3,301,14,10,5,1.67,0/0,0,2,2,1.0,0.0,71.4,2017,reg,0
1034,John Alvbage,MIN,G,3,2,222,15,5,10,5.0,1-Jan,0,2,1,0.0,0.0,33.3,2017,reg,0
1035,Maxime Crepeau,VAN,G,3,3,270,19,10,8,2.67,2-Jan,0,3,0,0.0,0.0,52.6,2017,reg,0
1036,Kyle Reynish,ATL,G,2,2,150,5,2,3,1.5,0/0,1,0,0,0.0,50.0,40.0,2017,reg,0
1037,Richard Sanchez,KC,G,2,2,180,15,11,4,2.0,0/0,1,1,0,0.0,50.0,73.3,2017,reg,0
1038,Eirik Johansen,NYC,G,2,2,180,7,3,4,2.0,0/0,1,1,0,0.0,50.0,42.9,2017,reg,0
1039,Alexander Tambakis,ATL,G,1,0,28,3,1,2,2.0,0/0,0,1,0,0.0,0.0,33.3,2017,reg,0
1040,Paolo Tornaghi,VAN,G,1,0,65,7,4,3,3.0,0/0,0,1,0,0.0,0.0,57.1,2017,reg,0
1041,Earl Edwards Jr.,DC,G,1,1,90,7,1,6,6.0,0/0,0,1,0,0.0,0.0,14.3,2017,reg,0
1042,Spencer Richey,CIN,G,1,1,90,3,1,2,2.0,0/0,0,1,0,0.0,0.0,33.3,2017,reg,0
1043,Tyler Miller,MIN,G,1,1,90,8,5,3,3.0,0/0,1,0,0,0.0,100.0,62.5,2017,reg,0
1044,Matt Bersano,SJ,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1045,John Berner,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1046,Calle Brown,HOU,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1047,Jacob Lissek,DAL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1048,Adrian Zendejas,NSH,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1049,Mason Stajduhar,ORL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1050,Connor Sparrow,CHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1051,Andre Rawls,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1052,Matt Turner,NE,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1053,Eduardo Cortes,DAL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1054,Evan Louro,NYR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1055,Eric Klenofsky,DC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1056,Stefan Cleveland,SEA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1057,Logan Ketterer,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1058,Alex Kapp,MIN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1059,Cody Mizell,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1060,Brad Stuver,NYC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1061,Lalo Fernandez,RSL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1062,Patrick McLain,MIN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1063,Mark Pais,TOR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1064,Kendall McIntosh,NY,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1065,Josh Saunders,ORL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1066,Eric Kronberg,MTL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1067,Bryan Meredith,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1068,Ryan Meara,NY,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1069,Jimmy Maurer,DAL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2017,reg,0
1070,Tim Melia,KC,G,34,34,3060,148,106,40,1.18,8-May,18,8,8,13.0,52.9,71.6,2018,reg,0
1071,David Bingham,LA,G,34,34,3060,186,121,64,1.88,8-Jun,13,12,9,8.0,38.2,65.1,2018,reg,0
1072,Evan Bush,MTL,G,34,34,3060,184,132,53,1.56,8-Jun,14,16,4,10.0,41.2,71.7,2018,reg,0
1073,Tim Howard,COL,G,33,33,2900,179,119,58,1.76,3-Mar,8,17,7,6.0,24.2,66.5,2018,reg,0
1074,Brad Guzan,ATL,G,33,33,2914,123,81,41,1.24,7-Jun,20,6,6,8.0,60.6,65.9,2018,reg,0
1075,Nick Rimando,RSL,G,33,33,2925,165,103,57,1.73,7-May,13,13,7,7.0,39.4,62.4,2018,reg,0
1076,Stefan Frei,SEA,G,33,33,2970,150,114,34,1.03,2-Feb,18,10,5,7.0,54.5,76.0,2018,reg,0
1077,Andre Blake,PHI,G,33,33,2970,170,118,50,1.52,8-Aug,14,14,5,10.0,42.4,69.4,2018,reg,0
1078,Tyler Miller,MIN,G,33,33,2970,169,114,50,1.52,7-May,16,8,9,10.0,48.5,67.5,2018,reg,0
1079,Sean Johnson,NYC,G,32,32,2880,141,100,41,1.28,3-Jan,15,10,7,10.0,46.9,70.9,2018,reg,0
1080,Luis Robles,NY,G,31,31,2790,115,84,30,0.97,3-Feb,21,6,4,14.0,67.7,73.0,2018,reg,0
1081,Andrew Tarbell,CLB,G,29,29,2610,152,87,60,2.07,2-Jan,4,17,8,1.0,13.8,57.2,2018,reg,0
1082,Zack Steffen,CLB,G,29,29,2610,103,66,37,1.28,4-Apr,12,10,7,10.0,41.4,64.1,2018,reg,1
1083,Alex Bono,TOR,G,27,27,2430,137,90,45,1.67,6-May,9,12,6,3.0,33.3,65.7,2018,reg,0
1084,Matt Turner,NE,G,27,27,2430,126,83,42,1.56,4-Mar,8,10,9,5.0,29.6,65.9,2018,reg,0
1085,Joe Willis,NSH,G,26,26,2340,124,82,42,1.62,7-May,9,11,6,4.0,34.6,66.1,2018,reg,0
1086,Richard Sanchez,KC,G,25,24,2207,128,79,47,1.96,4-Apr,6,13,6,3.0,24.0,61.7,2018,reg,0
1087,Joe Bendik,PHI,G,25,24,2218,142,84,58,2.42,6-May,6,17,2,1.0,24.0,59.2,2018,reg,0
1088,Bobby Shuttleworth,CHI,G,25,25,2250,155,103,51,2.04,4-Apr,9,13,3,2.0,36.0,66.5,2018,reg,0
1089,Stefan Marinovic,VAN,G,24,24,2160,112,65,45,1.88,9-Jul,10,10,4,2.0,41.7,58.0,2018,reg,0
1090,Jeff Attinella,POR,G,22,22,1944,85,64,23,1.05,1-Jan,10,5,5,7.0,45.5,75.3,2018,reg,0
1091,Jesse Gonzalez,DAL,G,21,21,1890,92,63,28,1.33,5-Mar,11,7,3,6.0,52.4,68.5,2018,reg,0
1092,David Ousted,DC,G,17,17,1530,81,48,32,1.88,2-Jan,4,7,6,0.0,23.5,59.3,2018,reg,0
1093,Bill Hamid,DC,G,14,14,1260,63,51,12,0.86,0/0,9,2,3,5.0,64.3,81.0,2018,reg,0
1094,Jimmy Maurer,DAL,G,13,13,1170,47,32,16,1.23,2-Feb,5,2,6,4.0,38.5,68.1,2018,reg,0
1095,Steve Clark,POR,G,11,9,846,61,44,17,1.89,0/0,5,4,2,3.0,45.5,72.1,2018,reg,0
1096,Brian Rowe,ORL,G,10,10,900,50,29,22,2.2,2-Feb,3,3,4,0.0,30.0,58.0,2018,reg,0
1097,Matt Lampson,CLB,G,9,9,810,54,31,20,2.22,1-Jan,2,7,0,0.0,22.2,57.4,2018,reg,0
1098,Brad Knighton,NE,G,7,7,630,46,33,13,1.86,1-Jan,2,3,2,2.0,28.6,71.7,2018,reg,0
1099,Clint Irwin,COL,G,7,7,630,47,27,19,2.71,1-Jan,1,6,0,0.0,14.3,57.4,2018,reg,0
1100,Chris Seitz,DC,G,6,6,540,23,14,9,1.5,2-Jan,1,3,2,1.0,16.7,60.9,2018,reg,0
1101,Jake Gleeson,POR,G,6,6,540,29,15,14,2.33,1-Jan,1,3,2,0.0,16.7,51.7,2018,reg,0
1102,Earl Edwards Jr.,DC,G,5,5,392,26,15,10,2.0,0/0,1,2,1,0.0,20.0,57.7,2018,reg,0
1103,Patrick McLain,CHI,G,5,5,403,20,13,6,1.2,1-Jan,1,2,1,1.0,20.0,65.0,2018,reg,0
1104,JT Marcinkowski,SJ,G,5,5,450,32,20,11,2.2,1-Jan,0,4,1,1.0,0.0,62.5,2018,reg,0
1105,Adam Grinwis,ORL,G,5,5,450,20,14,6,1.2,0/1,1,3,1,1.0,20.0,70.0,2018,reg,0
